ad_id,campaign_name,clicks,impressions,cost,leads,conversions,conversion_rate,sale_amount,ad_date,location,device,keyword
A1017,Data Analytics Course,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,2024-11-12,Hyderabad,Mobile,learn data analytics
A1018,Data Analytics Course,150.0,3113.0,217.41,20.0,5.0,0.046,1785.0,2024-11-07,Hyderabad,Mobile,analytics for data
A1019,Data Analytics Course,145.0,5278.0,215.57,25.0,6.0,0.041,1516.0,2024-11-05,Hyderabad,Desktop,data analytics course
A1020,Data Analytics Course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,2024-11-21,Hyderabad,Tablet,learn data analytics
A1021,Data Analytics Course,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,2024-11-08,Hyderabad,Tablet,data analitics online
A1022,Data Analytics Course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,Hyderabad,Desktop,online data analytic
A1023,Data Analytics Course,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,2024-11-30,Hyderabad,Tablet,data analytics course
A1024,DataAnalyticsCourse,87.0,3718.0,215.57,12.0,3.0,0.034,1652.0,2024-11-20,Hyderabad,Tablet,learn data analytics
A1025,DataAnalyticsCourse,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,Hyderabad,Tablet,learn data analytics
A1026,Data Analytics Course,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,Hyderabad,Desktop,online data analytic
A1027,Data Analytics Course,139.0,5286.0,234.89,22.0,10.0,0.046,1688.0,2024-11-21,Hyderabad,Desktop,data anaytics training
A1028,Data Analytics Course,128.0,5469.0,188.49,16.0,3.0,0.046,1783.0,2024-11-23,Hyderabad,Mobile,learn data analytics
A1029,Data Analytics Course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,2024-11-13,Hyderabad,Mobile,analytics for data
A1030,Data Analytics Course,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,Hyderabad,Tablet,online data analytic
A1031,DataAnalyticsCourse,113.0,5065.0,212.37,11.0,5.0,0.046,1111.0,2024-11-22,Hyderabad,Desktop,online data analytic
A1032,Data Analytics Course,139.0,3872.0,244.38,20.0,4.0,0.046,1041.0,2024-11-12,Hyderabad,Tablet,data analitics online
A1033,Data Analytics Course,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,2024-11-03,Hyderabad,Tablet,data analytics course
A1034,Data Analytics Course,121.0,5610.0,214.96,23.0,8.0,0.046,1505.0,2024-11-25,Hyderabad,Mobile,data analytics course
A1035,DataAnalyticsCourse,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,2024-11-01,Hyderabad,Desktop,data anaytics training
A1036,Data Analytics Course,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,Hyderabad,Desktop,data anaytics training
A1037,Data Analytics Course,123.0,5131.0,215.57,19.0,5.0,0.041,1307.0,2024-11-09,Hydrebad,Mobile,learn data analytics
A1038,Data Analytics Course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,2024-11-16,Hyderabad,Mobile,online data analytic
A1039,Data Analytics Course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,Hydrebad,Mobile,learn data analytics
A1040,Data Analytics Course,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,2024-11-12,Hyderabad,Mobile,data anaytics training
A1041,Data Analytics Course,112.0,4271.0,196.07,27.0,6.0,0.046,1209.0,2024-11-14,Hyderabad,Desktop,data analitics online
A1042,Data Analytics Course,113.0,4418.0,191.55,27.0,10.0,0.046,1634.0,2024-11-09,Hyderabad,Mobile,data analytics course
A1043,Data Analytics Course,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,2024-11-29,Hydrebad,Desktop,data analitics online
A1044,DataAnalyticsCourse,197.0,5783.0,204.46,23.0,6.0,0.046,1729.0,2024-11-01,Hydrebad,Tablet,data anaytics training
A1045,DataAnalyticsCourse,109.0,4866.0,236.78,27.0,5.0,0.046,1585.0,2024-11-15,Hyderabad,Mobile,online data analytic
A1046,Data Analytics Course,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,2024-11-11,Hyderabad,Desktop,data anaytics training
A1047,Data Analytics Course,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,Hyderabad,Mobile,analytics for data
A1048,Data Analytics Course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,Hydrebad,Mobile,online data analytic
A1049,Data Analytics Course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,2024-11-21,Hyderabad,Mobile,learn data analytics
A1050,Data Analytics Course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,2024-11-12,Hydrebad,Mobile,analytics for data
A1051,Data Analytics Course,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,Hyderabad,Tablet,analytics for data
A1052,Data Analytics Course,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,Hyderabad,Mobile,online data analytic
A1053,Data Analytics Course,113.0,4945.0,187.66,15.0,10.0,0.046,1564.0,2024-11-26,Hyderabad,Tablet,learn data analytics
A1054,Data Analytics Course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,2024-11-26,Hyderabad,Desktop,learn data analytics
A1055,Data Analytics Course,125.0,4223.0,183.68,15.0,6.0,0.046,1267.0,2024-11-05,Hyderabad,Desktop,data analitics online
A1056,Data Analytics Course,104.0,4798.0,210.1,18.0,3.0,0.046,1340.0,2024-11-21,Hyderabad,Desktop,analytics for data
A1057,Data Analytics Course,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,Hydrebad,Mobile,data anaytics training
A1058,DataAnalyticsCourse,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,2024-11-18,Hyderabad,Desktop,data analitics online
A1059,Data Analytics Course,179.0,3025.0,238.81,17.0,3.0,0.017,1505.0,2024-11-11,Hyderabad,Mobile,data analitics online
A1060,Data Analytics Course,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,2024-11-16,Hyderabad,Tablet,data analytics course
A1061,Data Analytics Course,166.0,5089.0,215.57,26.0,7.0,0.042,1946.0,2024-11-11,Hyderabad,Tablet,analytics for data
A1062,Data Analytics Course,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,2024-11-08,Hyderabad,Desktop,analytics for data
A1063,DataAnalyticsCourse,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,2024-11-23,Hyderabad,Mobile,data analytics course
A1064,Data Analytics Course,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,2024-11-20,Hyderabad,Tablet,data analytics course
A1065,Data Analytics Course,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,Hyderabad,Desktop,online data analytic
A1066,DataAnalyticsCourse,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,2024-11-27,Hyderabad,Mobile,analytics for data
A1067,Data Analytics Course,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,Hyderabad,Desktop,data analitics online
A1068,Data Analytics Course,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,2024-11-04,Hyderabad,Desktop,learn data analytics
A1069,DataAnalyticsCourse,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,Hydrebad,Desktop,learn data analytics
A1070,Data Analytics Course,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,2024-11-06,Hyderabad,Mobile,data analitics online
A1071,Data Analytics Course,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,Hyderabad,Tablet,learn data analytics
A1072,DataAnalyticsCourse,133.0,3728.0,199.13,11.0,10.0,0.046,1505.0,2024-11-09,Hyderabad,Desktop,data analitics online
A1073,DataAnalyticsCourse,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,2024-11-12,Hyderabad,Tablet,learn data analytics
A1074,Data Analytics Course,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,Hyderabad,Desktop,data analitics online
A1075,Data Analytics Course,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,2024-11-23,Hyderabad,Desktop,analytics for data
A1076,Data Analytics Course,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,2024-11-08,Hyderabad,Mobile,learn data analytics
A1077,Data Analytics Course,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,2024-11-05,Hyderabad,Desktop,online data analytic
A1078,Data Analytics Course,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,Hydrebad,Tablet,online data analytic
A1079,Data Analytics Course,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,Hydrebad,Tablet,analytics for data
A1080,Data Analytics Course,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,2024-11-25,Hydrebad,Mobile,analytics for data
A1081,Data Analytics Course,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,2024-11-30,Hyderabad,Mobile,learn data analytics
A1082,Data Analytics Course,149.0,3587.0,217.53,23.0,8.0,0.046,1505.0,2024-11-17,Hydrebad,Mobile,data analitics online
A1083,DataAnalyticsCourse,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,2024-11-28,Hyderabad,Mobile,data analitics online
A1084,DataAnalyticsCourse,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,2024-11-03,Hyderabad,Tablet,analytics for data
A1085,DataAnalyticsCourse,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,2024-11-19,Hyderabad,Desktop,data anaytics training
A1086,Data Analytics Course,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,2024-11-23,Hyderabad,Desktop,learn data analytics
A1087,Data Analytics Course,143.0,4368.0,215.57,27.0,7.0,0.049,1199.0,2024-11-03,Hydrebad,Tablet,analytics for data
A1088,Data Analytics Course,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,2024-11-07,Hydrebad,Tablet,online data analytic
A1089,DataAnalyticsCourse,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,2024-11-02,Hyderabad,Desktop,online data analytic
A1090,Data Analytics Course,141.0,4851.0,227.39,28.0,5.0,0.046,1821.0,2024-11-15,Hyderabad,Desktop,analytics for data
A1091,Data Analytics Course,108.0,4710.0,204.16,19.0,10.0,0.093,1731.0,2024-11-20,Hyderabad,Tablet,data analitics online
A1092,Data Analytics Course,112.0,3345.0,215.57,11.0,6.0,0.047,1859.0,2024-11-23,Hyderabad,Tablet,analytics for data
A1093,DataAnalyticsCourse,139.0,5903.0,184.41,23.0,9.0,0.046,1188.0,2024-11-20,Hyderabad,Tablet,online data analytic
A1094,Data Analytics Course,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,2024-11-01,Hydrebad,Tablet,data analitics online
A1095,Data Analytics Course,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,2024-11-14,Hyderabad,Desktop,data anaytics training
A1096,DataAnalyticsCourse,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,2024-11-28,Hyderabad,Tablet,learn data analytics
A1097,Data Analytics Course,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,2024-11-15,Hydrebad,Tablet,data analitics online
A1098,DataAnalyticsCourse,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,2024-11-25,Hydrebad,Tablet,data analytics course
A1099,Data Analytics Course,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,2024-11-06,Hyderabad,Tablet,online data analytic
A1100,Data Analytics Course,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,2024-11-29,Hyderabad,Desktop,online data analytic
A1101,Data Analytics Course,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,2024-11-17,Hyderabad,Tablet,learn data analytics
A1102,Data Analytics Course,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,2024-11-04,Hyderabad,Mobile,online data analytic
A1103,Data Analytics Course,119.0,5800.0,221.36,11.0,8.0,0.046,1505.0,2024-11-29,Hydrebad,Desktop,analytics for data
A1104,Data Analytics Course,89.0,3594.0,215.57,14.0,6.0,0.067,1026.0,2024-11-15,Hyderabad,Tablet,data analytics course
A1105,Data Analytics Course,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,2024-11-28,Hyderabad,Tablet,analytics for data
A1106,Data Analytics Course,109.0,4128.0,183.65,12.0,5.0,0.046,1505.0,2024-11-30,Hyderabad,Desktop,data analitics online
A1107,Data Analytics Course,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,2024-11-03,Hyderabad,Tablet,learn data analytics
A1108,Data Analytics Course,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,2024-11-22,Hyderabad,Desktop,analytics for data
A1109,Data Analytics Course,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,2024-11-20,Hyderabad,Tablet,online data analytic
A1110,Data Analytics Course,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,2024-11-08,Hyderabad,Mobile,data analytics course
A1111,DataAnalyticsCourse,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,2024-11-24,Hyderabad,Mobile,learn data analytics
A1112,Data Analytics Course,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,2024-11-09,Hyderabad,Mobile,online data analytic
A1113,DataAnalyticsCourse,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,2024-11-25,Hyderabad,Mobile,data analytics course
A1114,Data Analytics Course,91.0,4518.5,203.52,20.0,9.0,0.099,1838.0,2024-11-20,Hydrebad,Desktop,data analytics course
A1115,Data Analytics Course,140.0,5405.0,195.69,21.0,8.0,0.046,1094.0,2024-11-21,Hyderabad,Desktop,data anaytics training
A1116,DataAnalyticsCourse,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,2024-11-24,Hyderabad,Mobile,online data analytic
A1117,Data Analytics Course,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,2024-11-05,Hyderabad,Mobile,data analytics course
A1118,Data Analytics Course,172.0,3889.0,215.57,21.0,10.0,0.046,1766.0,2024-11-16,Hyderabad,Tablet,online data analytic
A1119,Data Analytics Course,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,2024-11-03,Hydrebad,Tablet,online data analytic
A1120,Data Analytics Course,117.0,4518.5,214.18,29.0,4.0,0.034,1348.0,2024-11-23,Hyderabad,Mobile,learn data analytics
A1121,DataAnalyticsCourse,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,2024-11-23,Hyderabad,Mobile,analytics for data
A1122,Data Analytics Course,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,2024-11-24,Hyderabad,Tablet,learn data analytics
A1123,Data Analytics Course,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,2024-11-20,Hyderabad,Desktop,data analitics online
A1124,DataAnalyticsCourse,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,2024-11-10,Hyderabad,Mobile,learn data analytics
A1125,Data Analytics Course,110.0,4254.0,187.87,11.0,4.0,0.046,1172.0,2024-11-04,Hyderabad,Mobile,data anaytics training
A1126,Data Analytics Course,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,2024-11-23,Hyderabad,Tablet,online data analytic
A1127,DataAnalyticsCourse,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,2024-11-18,Hyderabad,Mobile,learn data analytics
A1128,DataAnalyticsCourse,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,2024-11-04,Hyderabad,Mobile,data analytics course
A1129,Data Analytics Course,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,2024-11-05,Hyderabad,Tablet,analytics for data
A1130,Data Analytics Course,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,2024-11-28,Hyderabad,Tablet,data analytics course
A1131,Data Analytics Course,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,2024-11-09,Hydrebad,Desktop,data anaytics training
A1132,DataAnalyticsCourse,135.0,5118.0,219.99,27.0,6.0,0.044,1089.0,2024-11-20,Hyderabad,Mobile,online data analytic
A1133,Data Analytics Course,92.0,5766.0,186.14,28.0,7.0,0.076,1013.0,2024-11-27,Hyderabad,Tablet,data anaytics training
A1134,Data Analytics Course,188.0,3934.0,206.21,16.0,9.0,0.048,1505.0,2024-11-04,Hydrebad,Desktop,data analytics course
A1135,Data Analytics Course,101.0,4724.0,228.38,13.0,7.0,0.034,1243.0,2024-11-20,Hyderabad,Desktop,learn data analytics
A1136,Data Analytics Course,111.0,5895.0,205.25,29.0,4.0,0.036,1693.0,2024-11-04,Hyderabad,Mobile,data analytics course
A1137,Data Analytics Course,122.0,4048.0,202.23,28.0,10.0,0.082,1505.0,2024-11-26,Hyderabad,Mobile,online data analytic
A1138,Data Analytics Course,99.0,3169.0,237.68,21.0,6.0,0.046,1509.0,2024-11-22,Hydrebad,Mobile,online data analytic
A1139,DataAnalyticsCourse,154.0,4535.0,229.29,11.0,3.0,0.019,1434.0,2024-11-01,Hyderabad,Tablet,data anaytics training
A1140,Data Analytics Course,129.0,3849.0,249.29,22.0,10.0,0.078,1767.0,2024-11-11,Hyderabad,Desktop,analytics for data
A1141,Data Analytics Course,139.0,4259.0,182.98,10.0,10.0,0.031,1048.0,2024-11-16,Hyderabad,Mobile,analytics for data
A1142,DataAnalyticsCourse,143.0,3628.0,215.57,18.0,9.0,0.063,1566.0,2024-11-17,Hydrebad,Tablet,data analytics course
A1143,Data Analytics Course,80.0,3269.0,215.57,12.0,4.0,0.05,1753.0,2024-11-23,Hyderabad,Desktop,data analitics online
A1144,Data Analytics Course,134.0,3724.0,188.02,26.0,9.0,0.047,1891.0,2024-11-07,Hydrebad,Desktop,online data analytic
A1145,Data Analytics Course,174.0,4838.0,242.35,21.0,3.0,0.017,1599.0,2024-11-22,Hyderabad,Desktop,data analitics online
A1146,Data Analytics Course,196.0,4524.0,192.01,15.0,8.0,0.041,1048.0,2024-11-13,Hyderabad,Desktop,data analytics course
A1147,Data Analytics Course,194.0,4694.0,228.15,17.0,7.0,0.036,1874.0,2024-11-14,Hyderabad,Tablet,learn data analytics
A1148,Data Analytics Course,180.0,4326.0,221.67,13.0,7.0,0.046,1427.0,2024-11-06,Hyderabad,Tablet,online data analytic
A1149,Data Analytics Course,100.0,4235.0,222.61,10.0,8.0,0.051,1814.0,2024-11-01,Hyderabad,Desktop,data anaytics training
A1150,Data Analytics Course,153.0,4367.0,184.51,29.0,9.0,0.059,1507.0,2024-11-13,Hyderabad,Mobile,analytics for data
A1151,Data Analytics Course,110.0,3748.0,198.68,24.0,9.0,0.082,1041.0,2024-11-05,Hyderabad,Tablet,data anaytics training
A1152,Data Analytics Course,116.0,3901.0,215.57,21.0,4.0,0.034,1483.0,2024-11-13,Hyderabad,Tablet,online data analytic
A1153,Data Analytics Course,156.0,3335.0,236.98,29.0,7.0,0.045,1143.0,2024-11-14,Hyderabad,Desktop,data analytics course
A1154,Data Analytics Course,177.0,5671.0,210.74,19.0,6.0,0.058,1172.0,2024-11-25,Hyderabad,Tablet,data analytics course
A1155,DataAnalyticsCourse,89.0,3408.0,214.78,25.0,9.0,0.101,1898.0,2024-11-15,Hydrebad,Mobile,data analytics course
A1156,DataAnalyticsCourse,155.0,4422.0,183.96,14.0,8.0,0.037,1143.0,2024-11-15,Hydrebad,Mobile,analytics for data
A1157,Data Analytics Course,123.0,3097.0,190.55,20.0,8.0,0.065,1640.0,2024-11-22,Hyderabad,Tablet,data analytics course
A1158,Data Analytics Course,102.0,3621.0,244.82,10.0,5.0,0.049,1375.0,2024-11-12,Hydrebad,Mobile,learn data analytics
A1159,Data Analytics Course,150.0,4806.0,244.53,15.0,9.0,0.046,1602.0,2024-11-07,Hydrebad,Mobile,data analitics online
A1160,Data Analytics Course,160.0,4518.5,245.87,11.0,6.0,0.037,1505.0,2024-11-05,Hyderabad,Desktop,analytics for data
A1161,Data Analytics Course,143.0,3901.0,191.38,29.0,4.0,0.053,1786.0,2024-11-24,Hyderabad,Mobile,learn data analytics
A1162,Data Analytics Course,178.0,4673.0,222.46,29.0,6.0,0.051,1219.0,2024-11-04,Hydrebad,Tablet,online data analytic
A1163,DataAnalyticsCourse,152.0,3542.0,208.96,13.0,9.0,0.046,1735.0,2024-11-13,Hyderabad,Desktop,data analytics course
A1164,DataAnalyticsCourse,139.0,4347.0,238.19,26.0,5.0,0.046,1384.0,2024-11-13,Hydrebad,Tablet,analytics for data
A1165,Data Analytics Course,175.0,5014.0,247.24,25.0,7.0,0.04,1499.0,2024-11-15,Hydrebad,Mobile,learn data analytics
A1166,Data Analytics Course,92.0,4185.0,218.46,21.0,9.0,0.035,1567.0,2024-11-03,Hyderabad,Mobile,data analitics online
A1167,DataAnalyticsCourse,123.0,5964.0,215.57,17.0,6.0,0.046,1363.0,2024-11-03,Hydrebad,Desktop,data anaytics training
A1168,Data Analytics Course,86.0,5124.0,183.71,13.0,10.0,0.116,1137.0,2024-11-20,Hyderabad,Mobile,data anaytics training
A1169,Data Analytics Course,117.0,4162.0,238.08,28.0,10.0,0.085,1186.0,2024-11-22,Hydrebad,Mobile,online data analytic
A1170,Data Analytics Course,146.0,4330.0,191.9,20.0,3.0,0.021,1748.0,2024-11-09,Hyderabad,Mobile,online data analytic
A1171,Data Analytics Course,89.0,3268.0,215.57,17.0,4.0,0.045,1233.0,2024-11-13,Hyderabad,Desktop,online data analytic
A1172,DataAnalyticsCourse,195.0,3483.0,213.99,27.0,7.0,0.036,1796.0,2024-11-23,Hyderabad,Desktop,learn data analytics
A1173,Data Analytics Course,170.0,4519.0,240.63,22.0,7.0,0.041,1012.0,2024-11-27,Hyderabad,Mobile,analytics for data
A1174,Data Analytics Course,97.0,3605.0,240.29,21.0,7.0,0.045,1682.0,2024-11-10,Hyderabad,Desktop,data analitics online
A1175,Data Analytics Course,159.0,5076.0,204.97,15.0,10.0,0.063,1638.0,2024-11-17,Hyderabad,Tablet,data analytics course
A1176,Data Analytics Course,131.0,5352.0,225.86,24.0,10.0,0.046,1961.0,2024-11-20,Hyderabad,Mobile,online data analytic
A1177,Data Analytics Course,108.0,5503.0,185.26,11.0,7.0,0.065,1921.0,2024-11-06,Hydrebad,Mobile,data analitics online
A1178,DataAnalyticsCourse,93.0,4308.0,209.83,19.0,9.0,0.097,1694.0,2024-11-20,Hyderabad,Mobile,data analytics course
A1179,Data Analytics Course,137.0,3555.0,213.5,29.0,3.0,0.046,1505.0,2024-11-06,Hyderabad,Desktop,data analytics course
A1180,Data Analytics Course,81.0,5615.0,193.14,30.0,6.0,0.074,1255.0,2024-11-28,Hyderabad,Mobile,analytics for data
A1181,Data Analytics Course,160.0,4743.0,206.22,23.0,10.0,0.062,1825.0,2024-11-20,Hydrebad,Mobile,learn data analytics
A1182,Data Analytics Course,186.0,3337.0,183.58,16.0,8.0,0.043,1045.0,2024-11-30,Hyderabad,Desktop,online data analytic
A1183,Data Analytics Course,105.0,3234.0,238.8,27.0,10.0,0.095,1248.0,2024-11-06,Hyderabad,Desktop,online data analytic
A1184,Data Analytics Course,131.0,3913.0,203.69,14.0,10.0,0.046,1079.0,2024-11-25,Hyderabad,Desktop,data anaytics training
A1185,Data Analytics Course,129.0,3208.0,204.2,18.0,8.0,0.032,1456.0,2024-11-29,Hyderabad,Desktop,learn data analytics
A1186,Data Analytics Course,187.0,5972.0,220.64,30.0,7.0,0.037,1980.0,2024-11-14,Hyderabad,Desktop,data analytics course
A1187,Data Analytics Course,167.0,3662.0,235.43,10.0,7.0,0.042,1684.0,2024-11-25,Hyderabad,Mobile,data anaytics training
A1188,DataAnalyticsCourse,140.0,3359.0,182.13,29.0,7.0,0.045,1973.0,2024-11-28,Hydrebad,Desktop,data analitics online
A1189,Data Analytics Course,198.0,3700.0,220.67,14.0,5.0,0.046,1531.0,2024-11-10,Hyderabad,Mobile,analytics for data
A1190,Data Analytics Course,196.0,3835.0,218.07,10.0,9.0,0.041,1871.0,2024-11-04,Hyderabad,Tablet,online data analytic
A1191,Data Analytics Course,140.0,5638.0,208.02,22.0,5.0,0.046,1652.0,2024-11-18,Hyderabad,Desktop,data anaytics training
A1192,Data Analytics Course,157.0,5825.0,230.6,16.0,3.0,0.019,1041.0,2024-11-16,Hydrebad,Desktop,data anaytics training
A1193,Data Analytics Course,91.0,5428.0,248.38,11.0,3.0,0.033,1835.0,2024-11-22,Hyderabad,Tablet,learn data analytics
A1194,Data Analytics Course,140.0,3571.0,238.12,21.0,9.0,0.064,1762.0,2024-11-16,Hyderabad,Desktop,learn data analytics
A1195,DataAnalyticsCourse,154.0,3638.0,182.17,11.0,8.0,0.056,1413.0,2024-11-04,Hyderabad,Mobile,online data analytic
A1196,Data Analytics Course,133.0,4505.0,200.52,23.0,3.0,0.039,1562.0,2024-11-26,Hyderabad,Tablet,analytics for data
A1197,Data Analytics Course,139.0,5016.0,238.59,26.0,9.0,0.046,1620.0,2024-11-20,Hyderabad,Mobile,data analitics online
A1198,Data Analytics Course,141.0,3071.0,208.2,10.0,6.0,0.043,1647.0,2024-11-18,Hydrebad,Tablet,data analitics online
A1199,Data Analytics Course,135.0,5682.0,215.57,30.0,3.0,0.046,1445.0,2024-11-15,Hyderabad,Tablet,data anaytics training
A1200,Data Analytics Course,199.0,5067.0,247.38,24.0,8.0,0.059,1365.0,2024-11-19,Hyderabad,Mobile,analytics for data
